id,observed_on,user_id,user_name,quality_grade,latitude,longitude,scientific_name,common_name
4726847,2016-12-06,335645,"",research,36.95945081,-121.77232276,Amanita phalloides,Deathcap
4727638,2016-12-06,7302,Liz Gottlieb,research,37.962155,-122.6018616667,Amanita phalloides,Deathcap
4727732,2016-12-06,2492,Natalie McNear,research,38.1323305,-122.6051466667,Amanita phalloides,Deathcap
4728460,2016-12-06,2873,James Maughn,research,36.8862506999,-121.8847884505,Amanita phalloides,Deathcap
4728622,2016-12-06,2492,Natalie McNear,research,38.1324471667,-122.6051466667,Amanita phalloides,Deathcap
4731978,2016-12-05,3494,Damon Tighe,research,37.828975,-122.1735533333,Amanita phalloides,Deathcap
4731979,2016-12-05,3494,Damon Tighe,research,37.8288466667,-122.1733333333,Amanita phalloides,Deathcap
4732133,2016-12-05,3494,Damon Tighe,research,37.8289033333,-122.17315,Amanita phalloides,Deathcap
4732243,2016-12-05,3494,Damon Tighe,research,37.7709283333,-122.1481028333,Amanita phalloides,Deathcap
4732245,2016-12-05,3494,Damon Tighe,research,37.7709283333,-122.1481028333,Amanita phalloides,Deathcap
4732266,2016-12-05,3494,Damon Tighe,research,37.7914416667,-122.1681366667,Amanita phalloides,Deathcap
4732601,2016-11-25,9335,Leslie Flint,research,37.3576972222,-122.2451944444,Amanita phalloides,Deathcap
4732664,2016-12-06,3494,Damon Tighe,research,37.2586833333,-121.792795,Amanita phalloides,Deathcap
4733392,2016-12-07,378993,,research,37.9807208303,-122.0860805848,Amanita phalloides,Deathcap
4733820,2016-12-04,46856,Gary McDonald,research,36.87616,-121.62792,Amanita phalloides,Deathcap
4733832,2016-12-04,46856,Gary McDonald,research,36.87622,-121.62834,Amanita phalloides,Deathcap
4739629,2016-12-08,19715,Gena Bentall,research,36.6175383333,-121.9355383333,Amanita phalloides,Deathcap
4742498,2016-12-09,226163,Max Landon,research,36.9743831251,-122.063212597,Amanita phalloides,Deathcap
4742503,2016-12-09,226163,Max Landon,research,36.9748035527,-122.0588317168,Amanita phalloides,Deathcap
4743714,2016-12-09,380157,,research,37.02854977,-122.04274303,Amanita phalloides,Deathcap
4744413,2016-12-09,380139,,research,37.085117572,-122.0619166364,Amanita phalloides,Deathcap
4745021,2016-12-09,9335,Leslie Flint,research,37.5792740146,-122.4751414453,Amanita phalloides,Deathcap
4745271,2016-12-09,380139,,research,37.0864511328,-122.0641927422,Amanita phalloides,Deathcap
4745390,2016-12-08,379681,,research,37.0690695,-122.0322945,Amanita phalloides,Deathcap
4746851,2016-12-09,380158,"",research,37.02891319,-122.04231781,Amanita phalloides,Deathcap
4747054,2016-12-09,7000618,,research,38.4036678868,-122.8487092071,Amanita phalloides,Deathcap
4747354,2016-12-09,5179,Christian Schwarz,research,37.0187083333,-122.0435416667,Amanita phalloides,Deathcap
4748079,2014-12-08,25945,Alan Rockefeller,research,37.81235,-122.1885,Amanita phalloides,Deathcap
4748288,2016-12-09,60643,Stacie Wolny,research,37.21292875,-121.9862670833,Amanita phalloides,Deathcap
4748679,2016-12-09,3494,Damon Tighe,research,37.992175,-122.21302,Amanita phalloides,Deathcap
4748694,2016-12-09,3494,Damon Tighe,research,37.9920883333,-122.213775,Amanita phalloides,Deathcap
4748705,2016-12-09,3494,Damon Tighe,research,37.9921616667,-122.213805,Amanita phalloides,Deathcap
4748724,2016-12-09,3494,Damon Tighe,research,37.9910583333,-122.2102366667,Amanita phalloides,Deathcap
4748733,2016-12-09,3494,Damon Tighe,research,37.9907383333,-122.2105716667,Amanita phalloides,Deathcap
4751763,2016-12-09,2873,James Maughn,research,37.0884328495,-122.0637323857,Amanita phalloides,Deathcap
4753441,2016-12-10,209572,Anne Parsons,research,37.1807,-121.9979,Amanita phalloides,Deathcap
4753758,2016-12-10,209572,Anne Parsons,research,37.178409,-121.999037,Amanita phalloides,Deathcap
4753759,2016-12-10,209572,Anne Parsons,research,37.178358,-121.999059,Amanita phalloides,Deathcap
4754245,2016-12-01,108450,R.J. Adams,research,36.801278,-121.682813,Amanita phalloides,Deathcap
4754496,2016-12-10,380544,,research,38.5021966667,-122.9969033333,Amanita phalloides,Deathcap
4754669,2016-12-10,170354,Peter Vahlberg,research,38.7249891088,-121.3994815854,Amanita phalloides,Deathcap
4759526,2016-12-11,1,Ken-ichi Ueda,research,37.64206265,-122.03896241,Amanita phalloides,Deathcap
4760042,2016-12-11,151034,Courtney and Patrick Roach,research,37.0249555,-122.09175,Amanita phalloides,Deathcap
4760375,2016-12-11,7000618,,research,38.1520316704,-122.576566497,Amanita phalloides,Deathcap
4760688,2016-12-11,30502,"",research,37.8308355064,-122.2485976295,Amanita phalloides,Deathcap
4761057,2016-12-11,170354,Peter Vahlberg,research,38.7149954557,-121.4057112655,Amanita phalloides,Deathcap
4761075,2016-12-11,170354,Peter Vahlberg,research,38.7155173666,-121.4046401847,Amanita phalloides,Deathcap
4761100,2016-11-28,173183,Adam J. Searcy,research,36.980066419,-119.7290902777,Amanita phalloides,Deathcap
4761668,2016-12-11,242882,Kingman Bond-Graham,research,38.401845,-122.6944116667,Amanita phalloides alba,
4761670,2016-12-11,242882,Kingman Bond-Graham,research,38.401845,-122.6944116667,Amanita phalloides,Deathcap
4762842,2016-12-12,61883,Chris Evers,research,37.6786934,-122.4060983,Amanita phalloides,Deathcap
4763152,2016-12-11,16743,Todd Plummer,research,38.1008221667,-122.87275,Amanita phalloides,Deathcap
4763154,2016-12-11,16743,Todd Plummer,research,38.0994861667,-122.8744883333,Amanita phalloides,Deathcap
4763173,2016-12-07,85629,"",research,36.9996388889,-122.0403972222,Amanita phalloides,Deathcap
