id,time_observed_at,user_id,user_name,latitude,longitude,scientific_name
243790622,2024-09-24 13:57:04 UTC,8047108,Андрей Стрыжобык,57.1387216667,24.255765,Aureoboletus projectellus
245607966,2023-10-14 10:04:37 UTC,8537741,"",51.5321638889,14.6052166667,Aureoboletus projectellus
246014927,2024-10-05 14:00:00 UTC,7658366,Анна Прокофьева,54.9640125887,20.5137455281,Aureoboletus projectellus
247264115,2024-10-01 07:00:00 UTC,4173901,Valdas Dimparta,54.8911832115,23.5493955016,Aureoboletus projectellus
247991780,2024-09-24 12:09:14 UTC,8697460,,55.334847647,21.0306976363,Aureoboletus projectellus
248214582,2024-10-12 07:48:42 UTC,6562215,René Jarling,51.713365,14.2467583333,Aureoboletus projectellus
248215384,2024-10-12 09:17:50 UTC,6562215,René Jarling,51.718185,14.251465,Aureoboletus projectellus
248242146,2024-10-20 10:13:03 UTC,6598435,Antanas Kubilius,55.9322916667,21.4178716667,Aureoboletus projectellus
248426210,2024-10-21 10:25:21 UTC,4721808,Kazimierz Morawiak,53.5546266667,20.5300983333,Aureoboletus projectellus
254090928,2024-08-15 09:20:00 UTC,1095060,Andrejus Gaidamavičius,55.2066504731,25.6140840573,Aureoboletus projectellus
255527128,2024-08-13 06:18:08 UTC,5746902,Ivan Zubkovych,51.9227089722,25.7840279722,Aureoboletus projectellus
255527723,2024-08-13 06:19:07 UTC,5746902,Ivan Zubkovych,51.9227419722,25.7841419722,Aureoboletus projectellus
255887249,2024-08-06 15:12:00 UTC,1095060,Andrejus Gaidamavičius,55.2100532834,25.610094074,Aureoboletus projectellus
256873624,2023-10-05 09:24:56 UTC,8852269,Валерій Воробей,51.8849476084,25.796723552,Aureoboletus projectellus
258736279,2024-08-13 06:18:08 UTC,5746902,Ivan Zubkovych,51.9227089722,25.7840279722,Aureoboletus projectellus
258736315,2024-08-13 06:17:21 UTC,5746902,Ivan Zubkovych,51.922679,25.7839789722,Aureoboletus projectellus
261316195,2024-09-03 07:08:00 UTC,2507589,lidiabam,55.2291861111,20.9035277778,Aureoboletus projectellus
261316529,2024-09-03 07:42:00 UTC,2507589,lidiabam,55.2287055556,20.9042444444,Aureoboletus projectellus
261316530,2024-09-03 07:22:00 UTC,2507589,lidiabam,55.2287055556,20.9033444444,Aureoboletus projectellus
261316531,2024-09-03 07:01:00 UTC,2507589,lidiabam,55.2287055556,20.9040805556,Aureoboletus projectellus
261316532,2024-09-03 07:41:00 UTC,2507589,lidiabam,55.2288472222,20.9041805556,Aureoboletus projectellus
261316568,2024-09-03 07:00:00 UTC,2507589,lidiabam,55.2287388889,20.9043472222,Aureoboletus projectellus
265612318,2022-09-25 15:20:39 UTC,9025090,Ольга Усанова,55.255375,20.942805,Aureoboletus projectellus
267879338,2024-10-23 10:52:00 UTC,7074899,Michal Svit,51.9143389124,19.4679316878,Aureoboletus projectellus
268717897,2023-10-04 10:55:57 UTC,3380138,Julija Mačionytė,54.3604069935,24.6581285074,Aureoboletus projectellus
294362547,2023-08-29 15:46:45 UTC,8610619,Michal Ronikier,53.8603555556,17.5941138889,Aureoboletus projectellus
295998562,2024-08-16 10:58:00 UTC,9259786,Piotr Jagodziński,51.4818370858,15.7925424333,Aureoboletus projectellus
303976390,2025-08-05 09:49:00 UTC,9613416,,50.8955022068,21.9117454178,Aureoboletus projectellus
304207584,2025-08-06 12:06:35 UTC,4419964,Vilius Martinaitis,55.1003083333,25.6641222222,Aureoboletus projectellus
304262960,2025-08-06 16:26:16 UTC,7190587,"",51.3912908113,24.8597696051,Aureoboletus projectellus
304648366,2025-08-07 09:37:13 UTC,1471889,Leonid Rasran,52.0204939445,13.2269399241,Aureoboletus projectellus
304704825,2025-08-08 12:55:35 UTC,7542149,Mirosław Wantoch-Rekowski,54.7885266667,17.7069033333,Aureoboletus projectellus
304708072,2025-08-08 13:00:10 UTC,7542149,Mirosław Wantoch-Rekowski,54.7895433333,17.7080566667,Aureoboletus projectellus
304916456,2025-08-09 08:58:05 UTC,3383059,Dirk Hampusch,51.9079261111,13.8546594444,Aureoboletus projectellus
304918350,2025-08-09 07:58:38 UTC,7872047,Dariusz Kucharski and Kornelia Kucharska,51.6713943997,21.1995742,Aureoboletus projectellus
304959943,2025-08-09 12:47:35 UTC,5006580,Laura Z.,55.400272437,21.5428848937,Aureoboletus projectellus
304986535,,6243917,Sergio B.,53.831957638,23.840861849,Aureoboletus projectellus
305805308,2025-08-12 06:43:48 UTC,4777483,,54.1436111111,24.2111111111,Aureoboletus projectellus
306447517,2025-08-14 08:47:05 UTC,3103549,Юлия Гришанова,55.0601695,21.772955,Aureoboletus projectellus
306457634,2015-09-29 17:42:00 UTC,9434738,FunDive,54.8272536574,17.959928661,Aureoboletus projectellus
306459236,2025-08-15 11:23:21 UTC,5302163,Rimante Paulauskaite,55.2237616667,25.5621916667,Aureoboletus projectellus
306653253,2025-08-16 03:42:21 UTC,6498587,Emma,57.1623611667,24.28312,Aureoboletus projectellus
307225102,2025-08-10 08:24:00 UTC,7209309,Dariusz Kubiak,53.713338382,20.7442211681,Aureoboletus projectellus
307460060,2025-08-19 07:58:28 UTC,7058130,Šv. Sodas,55.1292135896,25.7562131435,Aureoboletus projectellus
307473193,2025-08-19 10:01:58 UTC,9070230,Inita Daniele,57.6430148492,22.2304099146,Aureoboletus projectellus
307477551,2025-08-19 10:38:29 UTC,4006311,Mindaugas,56.8480938,21.1029413,Aureoboletus projectellus
307698119,2025-08-20 08:43:19 UTC,9070230,Inita Daniele,57.7562543191,22.5899332948,Aureoboletus projectellus
307943774,2025-08-21 12:14:43 UTC,8538130,Jan Mourek,54.6307036333,18.8107061167,Aureoboletus projectellus
307953203,2025-08-21 09:27:57 UTC,7401737,Alfas,54.9993984,24.3075712,Aureoboletus projectellus
308365357,2025-08-19 06:08:05 UTC,5988232,Miks Rieksts-Hofmanis,57.2750462997,21.4161752,Aureoboletus projectellus
308365402,2025-08-18 12:13:34 UTC,5988232,Miks Rieksts-Hofmanis,56.8978788,21.2022592,Aureoboletus projectellus
308478457,2025-08-23 14:07:21 UTC,7292413,,57.3224216667,23.1361888333,Aureoboletus projectellus
308759871,2025-08-21 13:53:39 UTC,8264539,"",57.791736,27.8709589722,Aureoboletus projectellus
308948158,2025-08-20 13:28:39 UTC,8610619,Michal Ronikier,54.78861766,17.73654769,Aureoboletus projectellus
309203264,2025-08-26 09:32:49 UTC,5988232,Miks Rieksts-Hofmanis,56.88350612,24.1317905858,Aureoboletus projectellus
309435054,2025-08-26 13:55:22 UTC,5530034,Kaspar,58.934486118,22.2144775093,Aureoboletus projectellus
309483952,2025-08-27 07:01:36 UTC,7401737,Alfas,54.0398208,24.398088,Aureoboletus projectellus
309538318,2025-08-23 16:31:00 UTC,1095060,Andrejus Gaidamavičius,55.2926985664,25.6378222963,Aureoboletus projectellus
309680133,2025-08-06 08:36:32 UTC,7564932,"",51.4010206997,13.8169748997,Aureoboletus projectellus
309715429,2025-08-27 17:40:53 UTC,5988232,Miks Rieksts-Hofmanis,57.5678299412,22.0582126826,Aureoboletus projectellus
309716004,2025-08-28 07:46:27 UTC,5988232,Miks Rieksts-Hofmanis,57.5634014997,21.6992939,Aureoboletus projectellus
309919168,2025-08-29 09:56:56 UTC,6168899,Gleb Barmashenko,57.28386,17.0624966667,Aureoboletus projectellus
309949886,2023-08-19 08:45:00 UTC,9070230,Inita Daniele,57.0339772997,23.4292146997,Aureoboletus projectellus
310281448,2025-08-30 09:33:00 UTC,6646738,Yuri Skochelyas,54.4822530695,27.1717842349,Aureoboletus projectellus
310432604,2025-08-30 12:33:39 UTC,9694574,Dace,57.1663638889,24.3072444444,Aureoboletus projectellus
310481475,2025-08-31 14:13:53 UTC,6024112,Gen,53.7153763439,17.9592102394,Aureoboletus projectellus
310529681,2025-08-13 08:36:48 UTC,9697238,Marcin Wirkus,54.3636111111,17.2215305556,Aureoboletus projectellus
311011490,2025-09-02 08:20:58 UTC,7403939,,57.5081553917,22.7818357944,Aureoboletus projectellus
311248158,2025-09-03 13:32:56 UTC,2171319,Natalia Tatusz,54.72088617,17.23858919,Aureoboletus projectellus
311257839,2025-09-03 12:39:35 UTC,3069127,Lina Kaminskaitė,55.4299079722,21.09806,Aureoboletus projectellus
311272873,2025-09-03 15:52:00 UTC,2171319,Natalia Tatusz,54.6912196,17.2363277,Aureoboletus projectellus
311273172,2025-09-03 15:54:39 UTC,2171319,Natalia Tatusz,54.71429844,17.21867203,Aureoboletus projectellus
311279701,2025-09-03 15:29:53 UTC,2171319,Natalia Tatusz,54.71498641,17.2209978,Aureoboletus projectellus
311464762,2025-08-31 17:04:16 UTC,8264539,"",57.7938449722,27.910053,Aureoboletus projectellus
311541772,2025-09-04 17:09:54 UTC,9669570,Evita Veinberga,57.1869940642,24.3677243945,Aureoboletus projectellus
311632399,2025-09-04 09:26:22 UTC,2140089,Ralph Martin,58.9326709997,22.0500338997,Aureoboletus projectellus
311638280,2025-09-04 13:49:58 UTC,5988232,Miks Rieksts-Hofmanis,56.3097817,21.0072961997,Aureoboletus projectellus
311798257,2025-09-04 08:30:56 UTC,1476490,Zdeňka Nováková,54.623417,18.818066,Aureoboletus projectellus
311858398,2025-09-06 06:10:23 UTC,9669570,Evita Veinberga,57.5045439973,22.2522747641,Aureoboletus projectellus
311906767,2025-09-06 10:09:30 UTC,9695927,GuTa,57.1845116667,24.3250333333,Aureoboletus projectellus
